State,Pests on Crops,Pests on Fruits and Vegetables
Andhra Pradesh,"Brown Plant Hopper (BPH); Stem Borer; Pink Bollworm; Whitefly; Aphids; Fall Armyworm","Mango Hopper; Fruit Fly; Thrips; Mites; Fruit and Shoot Borer (Brinjal); Whitefly (Tomato)"
Arunachal Pradesh,"Stem Borer; Gundhi Bug; Armyworm; White Grubs","Kiwi Scale Insect; Orange Fruit Fly; Woolly Aphid (Apple); Cabbage Butterfly; Potato Tuber Moth"
Assam,"Tea Mosquito Bug; Red Spider Mite; Rice Stem Borer; Jute Semilooper; Hairy Caterpillar","Banana Pseudostem Weevil; Pineapple Mealybug; Arecanut Stem Borer; Diamondback Moth (Cabbage)"
Bihar,"Brown Plant Hopper; Termites; Maize Stem Borer; Pod Borer (Pulses); Gundhi Bug","Mango Hopper; Litchi Fruit Borer; Litchi Mite; Fruit Fly (Guava); Late Blight (Potato); Thrips (Onion)"
Chhattisgarh,"Rice Gall Midge; Stem Borer; White Grub; Pod Borer; Leaf Folder","Fruit and Shoot Borer (Brinjal); Fruit Fly (Guava); Whitefly (Tomato); Mites"
Goa,"Rhinoceros Beetle (Coconut); Red Palm Weevil (Coconut); Cashew Stem and Root Borer; Tea Mosquito Bug (Cashew); Rice Stem Borer","Mango Hopper; Fruit Fly; Banana Pseudostem Weevil"
Gujarat,"Pink Bollworm; Jassids; Whitefly (Cotton); Spodoptera (Groundnut); Aphids (Mustard); Stem Borer (Castor)","Fruit Fly (Mango); Mealybugs (Mango); Pomegranate Butterfly; Thrips; Mites"
Haryana,"Aphids (Wheat; Mustard); Termites; Pink Bollworm; Sugarcane Pyrilla; Rice Stem Borer","Citrus Psylla; Fruit Fly; Whitefly; Late Blight (Potato); Aphids (Vegetables)"
Himachal Pradesh,"Maize Stem Borer; White Grubs; Termites; Rice Blast","San Jose Scale; Woolly Aphid; Codling Moth (Apple); Mites; Diamondback Moth (Cabbage); Potato Tuber Moth"
